text,scenario_id,standard_name,relevance,role,unit,source,group_id,split,training_angle
DCS-A-记录时间-PV-07,distillation_column,timestamp,required,time,datetime,multi_angle:dcs_vendor_envelope,318700da340f5f6c,external_train,dcs_vendor_envelope
DCS-A-采集时间-PV-07,distillation_column,timestamp,required,time,datetime,multi_angle:dcs_vendor_envelope,9a8a2b7a7c8b62ec,external_train,dcs_vendor_envelope
PLC01.TS.VALUE,distillation_column,timestamp,required,time,datetime,multi_angle:plc_vendor_envelope,eb0c6282074f253c,external_train,plc_vendor_envelope
PLC01.timestamp.VALUE,distillation_column,timestamp,required,time,datetime,multi_angle:plc_vendor_envelope,2369644a5558b284,external_train,plc_vendor_envelope
PLC01.时间.VALUE,distillation_column,timestamp,required,time,datetime,multi_angle:plc_vendor_envelope,bd5cf5989c68ff5d,external_train,plc_vendor_envelope
PLC01.记录时间.VALUE,distillation_column,timestamp,required,time,datetime,multi_angle:plc_vendor_envelope,cabd5c5faff311b5,external_train,plc_vendor_envelope
PLC01.采集时间.VALUE,distillation_column,timestamp,required,time,datetime,multi_angle:plc_vendor_envelope,fa30c4e6ad014273,external_train,plc_vendor_envelope
TS,distillation_column,timestamp,required,time,datetime,multi_angle:separator_noise,5847aeca9ea836d5,external_train,separator_noise
timestamp,distillation_column,timestamp,required,time,datetime,multi_angle:separator_noise,376100a3bc4d8f22,external_train,separator_noise
timestamp_raw,distillation_column,timestamp,required,time,datetime,multi_angle:case_and_suffix_noise,68a2bf9e3143297b,external_train,case_and_suffix_noise
ts_raw,distillation_column,timestamp,required,time,datetime,multi_angle:case_and_suffix_noise,46b0f5ac96dcea35,external_train,case_and_suffix_noise
时间,distillation_column,timestamp,required,time,datetime,multi_angle:separator_noise,9a3d0adebe790595,external_train,separator_noise
时间_raw,distillation_column,timestamp,required,time,datetime,multi_angle:case_and_suffix_noise,a22f8e2fcac07e22,external_train,case_and_suffix_noise
记录时间,distillation_column,timestamp,required,time,datetime,multi_angle:separator_noise,6778fb590f7773fa,external_train,separator_noise
记录时间_raw,distillation_column,timestamp,required,time,datetime,multi_angle:case_and_suffix_noise,d29c599b7c06ebfc,external_train,case_and_suffix_noise
采集时间,distillation_column,timestamp,required,time,datetime,multi_angle:separator_noise,fec374dde74cfd59,external_train,separator_noise
采集时间_raw,distillation_column,timestamp,required,time,datetime,multi_angle:case_and_suffix_noise,464560b80bafae50,external_train,case_and_suffix_noise
2号线_top_product_purity_测点A12,distillation_column,top_product_purity,required,controlled,percent,multi_angle:equipment_channel_context,6f932c72cd053bb9,external_train,equipment_channel_context
2号线_产品纯度_测点A12,distillation_column,top_product_purity,required,controlled,percent,multi_angle:equipment_channel_context,b2b1438c203fd7ac,external_train,equipment_channel_context
2号线_塔顶产品纯度_测点A12,distillation_column,top_product_purity,required,controlled,percent,multi_angle:equipment_channel_context,9059e05831fbd833,external_train,equipment_channel_context
2号线_塔顶纯度_测点A12,distillation_column,top_product_purity,required,controlled,percent,multi_angle:equipment_channel_context,d9065c5aa6e18fbe,external_train,equipment_channel_context
DCS-A-top_product_purity-PV-07,distillation_column,top_product_purity,required,controlled,percent,multi_angle:dcs_vendor_envelope,c10a64d809c36b54,external_train,dcs_vendor_envelope
DCS-A-产品纯度-PV-07,distillation_column,top_product_purity,required,controlled,percent,multi_angle:dcs_vendor_envelope,ce74f2b54354a02f,external_train,dcs_vendor_envelope
DCS-A-塔顶产品纯度-PV-07,distillation_column,top_product_purity,required,controlled,percent,multi_angle:dcs_vendor_envelope,e52a78eff1a1f14b,external_train,dcs_vendor_envelope
DCS-A-塔顶纯度-PV-07,distillation_column,top_product_purity,required,controlled,percent,multi_angle:dcs_vendor_envelope,a22da5d8f932baab,external_train,dcs_vendor_envelope
PLC01.top_product_purity.VALUE,distillation_column,top_product_purity,required,controlled,percent,multi_angle:plc_vendor_envelope,54ca19094e542d1d,external_train,plc_vendor_envelope
PLC01.产品纯度.VALUE,distillation_column,top_product_purity,required,controlled,percent,multi_angle:plc_vendor_envelope,ad7703e01efa488c,external_train,plc_vendor_envelope
PLC01.塔顶产品纯度.VALUE,distillation_column,top_product_purity,required,controlled,percent,multi_angle:plc_vendor_envelope,6c5716d7e1dff4cf,external_train,plc_vendor_envelope
PLC01.塔顶纯度.VALUE,distillation_column,top_product_purity,required,controlled,percent,multi_angle:plc_vendor_envelope,fff8882f6322cf6e,external_train,plc_vendor_envelope
top.product.purity,distillation_column,top_product_purity,required,controlled,percent,multi_angle:separator_noise,73a75251145bebb9,external_train,separator_noise
top_product_purity(percent),distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_parenthesis,b5b00aaffb0c11e9,external_train,unit_parenthesis
top_product_purity__percent__AI,distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_channel_mix,cf8529281b16ab64,external_train,unit_channel_mix
top_product_purity_raw,distillation_column,top_product_purity,required,controlled,percent,multi_angle:case_and_suffix_noise,eeb50d4343440c7b,external_train,case_and_suffix_noise
产品纯度,distillation_column,top_product_purity,required,controlled,percent,multi_angle:separator_noise,aa04daeb30e6f18b,external_train,separator_noise
产品纯度(percent),distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_parenthesis,67ea9b0ba8e04803,external_train,unit_parenthesis
产品纯度__percent__AI,distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_channel_mix,87c52c4835f42f1e,external_train,unit_channel_mix
产品纯度_raw,distillation_column,top_product_purity,required,controlled,percent,multi_angle:case_and_suffix_noise,3e88bc630d2aeb4e,external_train,case_and_suffix_noise
塔顶产品纯度,distillation_column,top_product_purity,required,controlled,percent,multi_angle:separator_noise,4f6955832c6ad983,external_train,separator_noise
塔顶产品纯度(percent),distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_parenthesis,5b7d1f759390189b,external_train,unit_parenthesis
塔顶产品纯度__percent__AI,distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_channel_mix,671d0587b0da722f,external_train,unit_channel_mix
塔顶产品纯度_raw,distillation_column,top_product_purity,required,controlled,percent,multi_angle:case_and_suffix_noise,7ba72706fc6312b0,external_train,case_and_suffix_noise
塔顶纯度,distillation_column,top_product_purity,required,controlled,percent,multi_angle:separator_noise,618449ee75fedcf4,external_train,separator_noise
塔顶纯度(percent),distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_parenthesis,7f7ee2bb1fa17fd1,external_train,unit_parenthesis
塔顶纯度__percent__AI,distillation_column,top_product_purity,required,controlled,percent,multi_angle:unit_channel_mix,630eb821d6d2d9e0,external_train,unit_channel_mix
塔顶纯度_raw,distillation_column,top_product_purity,required,controlled,percent,multi_angle:case_and_suffix_noise,cc7a49f360fbce49,external_train,case_and_suffix_noise
2号线_TOP_TEMP_测点A12,distillation_column,top_temperature,required,controlled,degC,multi_angle:equipment_channel_context,6e81e41746ba05f8,external_train,equipment_channel_context
2号线_塔顶温度_测点A12,distillation_column,top_temperature,required,controlled,degC,multi_angle:equipment_channel_context,7709a05f1dc77844,external_train,equipment_channel_context
DCS-A-TOP_TEMP-PV-07,distillation_column,top_temperature,required,controlled,degC,multi_angle:dcs_vendor_envelope,3039ba186685646d,external_train,dcs_vendor_envelope
DCS-A-塔顶温度-PV-07,distillation_column,top_temperature,required,controlled,degC,multi_angle:dcs_vendor_envelope,8e2b6511ca57b1cc,external_train,dcs_vendor_envelope
PLC01.TOP_TEMP.VALUE,distillation_column,top_temperature,required,controlled,degC,multi_angle:plc_vendor_envelope,ed8a5a5aebc1e17d,external_train,plc_vendor_envelope
PLC01.塔顶温度.VALUE,distillation_column,top_temperature,required,controlled,degC,multi_angle:plc_vendor_envelope,a845cabf5ca4d244,external_train,plc_vendor_envelope
TOP.TEMP,distillation_column,top_temperature,required,controlled,degC,multi_angle:separator_noise,d7025149c42af3ae,external_train,separator_noise
TOP_TEMP(degC),distillation_column,top_temperature,required,controlled,degC,multi_angle:unit_parenthesis,97dad3f20d7662b7,external_train,unit_parenthesis
TOP_TEMP__degC__AI,distillation_column,top_temperature,required,controlled,degC,multi_angle:unit_channel_mix,13301f751e1ae506,external_train,unit_channel_mix
top_temp_raw,distillation_column,top_temperature,required,controlled,degC,multi_angle:case_and_suffix_noise,a7344a72b37b1cba,external_train,case_and_suffix_noise
塔顶温度,distillation_column,top_temperature,required,controlled,degC,multi_angle:separator_noise,bc31f3801db524be,external_train,separator_noise
塔顶温度(degC),distillation_column,top_temperature,required,controlled,degC,multi_angle:unit_parenthesis,966fdc33c3d1e632,external_train,unit_parenthesis
塔顶温度__degC__AI,distillation_column,top_temperature,required,controlled,degC,multi_angle:unit_channel_mix,6b40c63723ab8780,external_train,unit_channel_mix
塔顶温度_raw,distillation_column,top_temperature,required,controlled,degC,multi_angle:case_and_suffix_noise,3b80ab6cb010e2bb,external_train,case_and_suffix_noise
2号线_AIR_FLOW_NM3H_测点A12,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:equipment_channel_context,13d5b2e3b2dc4690,external_train,equipment_channel_context
2号线_AIR_FLOW_测点A12,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:equipment_channel_context,86492634e383b9e6,external_train,equipment_channel_context
2号线_助燃空气流量_测点A12,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:equipment_channel_context,2082f290aeda6fe1,external_train,equipment_channel_context
2号线_空气流量_测点A12,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:equipment_channel_context,8c84b76b65454ad7,external_train,equipment_channel_context
2号线_风量_测点A12,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:equipment_channel_context,27f9690c2d000272,external_train,equipment_channel_context
AIR.FLOW,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:separator_noise,2c8d71dfab453ad9,external_train,separator_noise
AIR.FLOW.NM3H,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:separator_noise,348bf3e8d965a3db,external_train,separator_noise
AIR_FLOW(Nm3/h),steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_parenthesis,2d9edf7b683edd1e,external_train,unit_parenthesis
AIR_FLOW_NM3H(Nm3/h),steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_parenthesis,4a0b3d1c0c214f00,external_train,unit_parenthesis
AIR_FLOW_NM3H__Nm3/h__AI,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_channel_mix,bfed2f6d4f3c7ba0,external_train,unit_channel_mix
AIR_FLOW__Nm3/h__AI,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_channel_mix,6993f904858b2b4f,external_train,unit_channel_mix
DCS-A-AIR_FLOW-PV-07,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:dcs_vendor_envelope,666333e228bdd866,external_train,dcs_vendor_envelope
DCS-A-AIR_FLOW_NM3H-PV-07,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:dcs_vendor_envelope,986695e38134b6f4,external_train,dcs_vendor_envelope
DCS-A-助燃空气流量-PV-07,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:dcs_vendor_envelope,baffad790ac0001a,external_train,dcs_vendor_envelope
DCS-A-空气流量-PV-07,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:dcs_vendor_envelope,3fe3eadc11f1ea7d,external_train,dcs_vendor_envelope
DCS-A-风量-PV-07,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:dcs_vendor_envelope,2fc3d410614199a3,external_train,dcs_vendor_envelope
PLC01.AIR_FLOW.VALUE,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:plc_vendor_envelope,43c09d872e29c56e,external_train,plc_vendor_envelope
PLC01.AIR_FLOW_NM3H.VALUE,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:plc_vendor_envelope,de838a56d79b8639,external_train,plc_vendor_envelope
PLC01.助燃空气流量.VALUE,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:plc_vendor_envelope,d171ed3ab06fb689,external_train,plc_vendor_envelope
PLC01.空气流量.VALUE,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:plc_vendor_envelope,2b7cbb372ae679ac,external_train,plc_vendor_envelope
PLC01.风量.VALUE,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:plc_vendor_envelope,820f8fe5f238c637,external_train,plc_vendor_envelope
air_flow_nm3h_raw,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:case_and_suffix_noise,ef724fd00aedf98e,external_train,case_and_suffix_noise
air_flow_raw,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:case_and_suffix_noise,7604fd0b09e7bebc,external_train,case_and_suffix_noise
助燃空气流量,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:separator_noise,eb64ffd0d975b2c1,external_train,separator_noise
助燃空气流量(Nm3/h),steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_parenthesis,f1277226f6b5658b,external_train,unit_parenthesis
助燃空气流量__Nm3/h__AI,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_channel_mix,86f993b1ed750308,external_train,unit_channel_mix
助燃空气流量_raw,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:case_and_suffix_noise,6fdb5ed8ada9e6ca,external_train,case_and_suffix_noise
空气流量,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:separator_noise,ebbe4b6932a01851,external_train,separator_noise
空气流量(Nm3/h),steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_parenthesis,84c6e7749cee2c3e,external_train,unit_parenthesis
空气流量__Nm3/h__AI,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_channel_mix,4fdef0fbaefdb4dd,external_train,unit_channel_mix
空气流量_raw,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:case_and_suffix_noise,d0cd1fbc7c2d135f,external_train,case_and_suffix_noise
风量,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:separator_noise,593eaef9f905d9e3,external_train,separator_noise
风量(Nm3/h),steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_parenthesis,848f72486aa98f22,external_train,unit_parenthesis
风量__Nm3/h__AI,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:unit_channel_mix,a637229fcac7fe25,external_train,unit_channel_mix
风量_raw,steel_reheating_furnace,air_flow,required,manipulated,Nm3/h,multi_angle:case_and_suffix_noise,3cff395f23e0ecba,external_train,case_and_suffix_noise
2号线_AFR_测点A12,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:equipment_channel_context,d485ed18bf7d607f,external_train,equipment_channel_context
2号线_AIR_FUEL_RATIO_测点A12,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:equipment_channel_context,72f0ffa8f56a4733,external_train,equipment_channel_context
2号线_air_fuel_ratio_测点A12,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:equipment_channel_context,6f08b0a1138b780d,external_train,equipment_channel_context
2号线_风燃比_测点A12,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:equipment_channel_context,21d243c73038e1f6,external_train,equipment_channel_context
AFR,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:separator_noise,d47fbba00d5ea154,external_train,separator_noise
AFR(ratio),steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_parenthesis,fcf0244bacf0c0a5,external_train,unit_parenthesis
AFR__ratio__AI,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_channel_mix,57163aadbed3fe9b,external_train,unit_channel_mix
AIR.FUEL.RATIO,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:separator_noise,5f029bc33706abd3,external_train,separator_noise
AIR_FUEL_RATIO(ratio),steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_parenthesis,466f76a9603a2791,external_train,unit_parenthesis
AIR_FUEL_RATIO__ratio__AI,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_channel_mix,ce2777db8c5c5d77,external_train,unit_channel_mix
DCS-A-AFR-PV-07,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:dcs_vendor_envelope,e8aa37a8b1487341,external_train,dcs_vendor_envelope
DCS-A-AIR_FUEL_RATIO-PV-07,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:dcs_vendor_envelope,9e876be51298acfa,external_train,dcs_vendor_envelope
DCS-A-air_fuel_ratio-PV-07,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:dcs_vendor_envelope,0abeeef3edbb89a2,external_train,dcs_vendor_envelope
DCS-A-风燃比-PV-07,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:dcs_vendor_envelope,580d3d28faff65ec,external_train,dcs_vendor_envelope
PLC01.AFR.VALUE,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:plc_vendor_envelope,d85ebf8bdbbb606b,external_train,plc_vendor_envelope
PLC01.AIR_FUEL_RATIO.VALUE,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:plc_vendor_envelope,5a96ac7714c1167d,external_train,plc_vendor_envelope
PLC01.air_fuel_ratio.VALUE,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:plc_vendor_envelope,435ea82abc8175ba,external_train,plc_vendor_envelope
PLC01.风燃比.VALUE,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:plc_vendor_envelope,ad9d1cabccd6d54e,external_train,plc_vendor_envelope
afr_raw,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:case_and_suffix_noise,8e34cb2a7a9b9ad2,external_train,case_and_suffix_noise
air.fuel.ratio,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:separator_noise,7ce96ca4e7b0823f,external_train,separator_noise
air_fuel_ratio(ratio),steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_parenthesis,185a3987fe8e3461,external_train,unit_parenthesis
air_fuel_ratio__ratio__AI,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_channel_mix,7f63125804f21121,external_train,unit_channel_mix
air_fuel_ratio_raw,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:case_and_suffix_noise,10edae7c88a0db57,external_train,case_and_suffix_noise
风燃比,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:separator_noise,eb51f6b9bc60029e,external_train,separator_noise
风燃比(ratio),steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_parenthesis,ff853b70c7a35c39,external_train,unit_parenthesis
风燃比__ratio__AI,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:unit_channel_mix,76d40337eb6c1c80,external_train,unit_channel_mix
风燃比_raw,steel_reheating_furnace,air_fuel_ratio,useful,state,ratio,multi_angle:case_and_suffix_noise,915774f0dab8ae24,external_train,case_and_suffix_noise
2号线_QUALITY_FLAG_测点A12,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:equipment_channel_context,a6e2deff3e8e28c1,external_train,equipment_channel_context
2号线_VALID_测点A12,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:equipment_channel_context,bb1649364cbdd4af,external_train,equipment_channel_context
2号线_data_valid_测点A12,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:equipment_channel_context,1d66eca398e49fdb,external_train,equipment_channel_context
2号线_数据有效标记_测点A12,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:equipment_channel_context,ee0bb8d972437e12,external_train,equipment_channel_context
2号线_质量码_测点A12,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:equipment_channel_context,937de4782dacfda0,external_train,equipment_channel_context
DCS-A-QUALITY_FLAG-PV-07,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:dcs_vendor_envelope,7f4e5bb7594abddf,external_train,dcs_vendor_envelope
DCS-A-VALID-PV-07,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:dcs_vendor_envelope,37a60d63f480f598,external_train,dcs_vendor_envelope
DCS-A-data_valid-PV-07,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:dcs_vendor_envelope,8d027c677695ee3e,external_train,dcs_vendor_envelope
DCS-A-数据有效标记-PV-07,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:dcs_vendor_envelope,1deaf69f3e5249f1,external_train,dcs_vendor_envelope
DCS-A-质量码-PV-07,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:dcs_vendor_envelope,a5ac738878bd1be5,external_train,dcs_vendor_envelope
PLC01.QUALITY_FLAG.VALUE,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:plc_vendor_envelope,c2315d803d027f18,external_train,plc_vendor_envelope
PLC01.VALID.VALUE,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:plc_vendor_envelope,18ddc21ef69269b5,external_train,plc_vendor_envelope
PLC01.data_valid.VALUE,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:plc_vendor_envelope,93bbaa86c5c2d433,external_train,plc_vendor_envelope
PLC01.数据有效标记.VALUE,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:plc_vendor_envelope,225aa0844d4c18bd,external_train,plc_vendor_envelope
PLC01.质量码.VALUE,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:plc_vendor_envelope,c6bcb9fe04ee1693,external_train,plc_vendor_envelope
QUALITY.FLAG,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:separator_noise,db74bcb21e9fee10,external_train,separator_noise
VALID,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:separator_noise,092b8b4d82267fe0,external_train,separator_noise
data.valid,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:separator_noise,f6511c396a97cd68,external_train,separator_noise
data_valid_raw,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:case_and_suffix_noise,5f79945531777312,external_train,case_and_suffix_noise
quality_flag_raw,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:case_and_suffix_noise,11e9ea8caf24d5ab,external_train,case_and_suffix_noise
valid_raw,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:case_and_suffix_noise,ea92ae7bd2b638a5,external_train,case_and_suffix_noise
数据有效标记,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:separator_noise,374e0dac6aac7783,external_train,separator_noise
数据有效标记_raw,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:case_and_suffix_noise,8ecb96743ae083ee,external_train,case_and_suffix_noise
质量码,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:separator_noise,eb7c01502111d0b9,external_train,separator_noise
质量码_raw,steel_reheating_furnace,data_valid,useful,quality,boolean,multi_angle:case_and_suffix_noise,0b997ca7105bf7b3,external_train,case_and_suffix_noise
2号线_FLUE_GAS_O2_测点A12,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:equipment_channel_context,816a4e66e647f080,external_train,equipment_channel_context
2号线_flue_gas_o2_测点A12,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:equipment_channel_context,a58626016e9273b0,external_train,equipment_channel_context
2号线_含氧量_测点A12,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:equipment_channel_context,fde2f48aa51a988d,external_train,equipment_channel_context
2号线_氧量_测点A12,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:equipment_channel_context,f331e3744353d494,external_train,equipment_channel_context
2号线_烟气氧_测点A12,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:equipment_channel_context,8081c07f0528ee97,external_train,equipment_channel_context
DCS-A-FLUE_GAS_O2-PV-07,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,b613c91963ffe0c8,external_train,dcs_vendor_envelope
DCS-A-flue_gas_o2-PV-07,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,637917422885a499,external_train,dcs_vendor_envelope
DCS-A-含氧量-PV-07,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,04a6310720baf5a1,external_train,dcs_vendor_envelope
DCS-A-氧量-PV-07,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,e7f4f86de2d04479,external_train,dcs_vendor_envelope
DCS-A-烟气氧-PV-07,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:dcs_vendor_envelope,413f8c53ea7e80c4,external_train,dcs_vendor_envelope
FLUE.GAS.O2,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:separator_noise,b601bef917e3c0aa,external_train,separator_noise
FLUE_GAS_O2(percent),steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_parenthesis,1a671fd9bdd3f8b6,external_train,unit_parenthesis
FLUE_GAS_O2__percent__AI,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_channel_mix,f7d21f9a35b6832a,external_train,unit_channel_mix
PLC01.FLUE_GAS_O2.VALUE,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:plc_vendor_envelope,94d1151f25ca2e14,external_train,plc_vendor_envelope
PLC01.flue_gas_o2.VALUE,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:plc_vendor_envelope,6bbecde026dc3c65,external_train,plc_vendor_envelope
PLC01.含氧量.VALUE,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:plc_vendor_envelope,0991c13a15c7af12,external_train,plc_vendor_envelope
PLC01.氧量.VALUE,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:plc_vendor_envelope,760949bb0bce2b82,external_train,plc_vendor_envelope
PLC01.烟气氧.VALUE,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:plc_vendor_envelope,064a69d628ca122c,external_train,plc_vendor_envelope
flue.gas.o2,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:separator_noise,e1c5af50082661ca,external_train,separator_noise
flue_gas_o2(percent),steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_parenthesis,04be36d622dc5944,external_train,unit_parenthesis
flue_gas_o2__percent__AI,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_channel_mix,183197b835315ee1,external_train,unit_channel_mix
flue_gas_o2_raw,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:case_and_suffix_noise,3b4806d006225e28,external_train,case_and_suffix_noise
含氧量,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:separator_noise,b20b71a497a7f114,external_train,separator_noise
含氧量(percent),steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_parenthesis,d572c7e5b8182dbd,external_train,unit_parenthesis
含氧量__percent__AI,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:unit_channel_mix,8ef6ce89e4b7920d,external_train,unit_channel_mix
含氧量_raw,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:case_and_suffix_noise,6d713d62f48a9bcd,external_train,case_and_suffix_noise
氧量,steel_reheating_furnace,flue_gas_o2,useful,state,percent,multi_angle:separator_noise,1a41f985890935fc,external_train,separator_noise
